names,ratings,cuisine
VR Raghavendra Tiffins,3.8,South Indian
Keventers - Milkshakes & Desserts,4,"Beverages, Desserts, Ice Cream, Shake"
Makhni Brothers,3.7,"North Indian, Kebab, Biryani, Hyderabadi, Mughlai, Desserts"
Punjab Restaurant,4.2,"North Indian, Biryani, Chinese, Mughlai, Andhra, Beverages"
The Dessert Zone,3.9,"Desserts, Shake"
Cakes Online,3.5,"Bakery, Ice Cream, Desserts"
Sh Shawarma,4.3,"Fast Food, Momos, Shawarma"
Snehitha Restaurant,4.3,"South Indian, North Indian, Chinese, Fast Food, Beverages, Shake"
Kaati Zone Rolls And Wraps,4.3,"Rolls, Fast Food, Sichuan"
Tif In,3.5,South Indian
Dine Hill,4,"North Indian, Chinese"
Sahadeva Reddy Pure Ghee Sweets,4.2,"Mithai, Street Food, Fast Food"
Coffee And More,4.3,"Fast Food, Coffee, Beverages"
Meals101,3.6,"Asian, North Indian, Chinese, Mexican, Italian, Desserts, Beverages, Sichuan"
Sri Sai Ram Darshini Tiffins & Meals,4,South Indian
Madina Tiffins,4.1,South Indian
Haji Ali Fresh Fruit Juices,4.3,"Beverages, Fast Food, Pizza"
Noodle House,3.9,"Chinese, Sichuan"
Sri Raghavendra Tiffin Centre,3.9,South Indian
45th Avenue,4.1,"Cafe, Coffee, Burger, Sandwich, Beverages, Desserts, Tea, Continental"
Phulkaas - Indian & Mughlai,3.6,"Mughlai, North Indian, Andhra, Kebab"
Mahalaxmi Tiffin Centre,4.1,South Indian
Bismillah Hotel,3.7,"South Indian, Biryani"
Swagth Hotel,4.3,"North Indian, South Indian, Chinese, Desserts"
CAKES11,3.5,Bakery
Veggie Chinese,4.1,"Chinese, North Indian, Biryani"
Shiva Sai Reddy Sweets & Chaat,4.4,"Mithai, Street Food"
South India Tiffins Meals & Fast Food Adda,4.3,"Biryani, Chinese"
Taiba Bakery & Cafe,4.1,"Bakery, Fast Food, South Indian, Beverages, Shake, Pizza, Burger, Tea"
Balaji Santosh Dhaba,3.9,"Biryani, North Indian, Chinese"
Hyderabad Tiffin Centre,4.3,South Indian
Delicious Dosa,4.1,South Indian
Indiana Burgers,4,Burger
Swathi Coffee Shop,4.1,"North Indian, Chinese, South Indian, Beverages"
North Food Factory,3.9,"North Indian, Fast Food"
A2 Fast Food,3.9,"Chinese, North Indian"
Teju Mess,3.6,"South Indian, North Indian, Biryani, Hyderabadi, Chinese"
Annapurna Mess,3.6,"Hyderabadi, Chinese"
The Chocolate Room,3.9,"Cafe, Italian, Mexican, Fast Food, Desserts, Beverages, Sichuan, Pizza"
Gelatica Gelato - Ice Cream,4,"Ice Cream, Desserts, Healthy Food"
De Cafe Studio,3.6,"Cafe, Fast Food, Burger, Chinese, Sandwich, Desserts, Shake, Beverages"
Samosa Party,4,"Street Food, Beverages"
Cakes King,3.7,"Bakery, Ice Cream, Desserts"
Gayathri Curry Point,3.5,South Indian
Bench Cafe & Restaurant,4.2,"Cafe, Chinese, Fast Food, Beverages, Sichuan, Pizza, Burger, Momos"
Theory Cafe & Dessert Bar,4.1,"Cafe, Fast Food, Desserts, Beverages, Shake, Tea"
Flying Spaghetti Monster,4.2,"Italian, Beverages, Pizza"
Feranoz,4.4,"Cafe, Bakery, Desserts, Pizza, Fast Food, Beverages, Italian"
Mehfil Biryani By Zakir Khan,3.5,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebab, North Indian, Desserts, Beverages"
Tea's N More,3.5,"Fast Food, Street Food, Tea, Pizza, Sandwich"
Qvinch,3.8,"Beverages, Juices, Shake, Salad, Pizza, Desserts, Healthy Food, Sandwich"
Sri Balaji Mithai Bhandar,4.3,"Mithai, Street Food"
Garamm Chai Cafe,4.1,"Fast Food, Burger, Sandwich, Street Food, Chinese, Pizza, Beverages, Sichuan"
New Delhi Mithai Wala,4.1,"Mithai, Street Food"
Pizza Stories,3.1,Pizza
Aangan - Yaatri Nivas,4.1,"North Indian, Andhra, Chinese, Beverages, Desserts"
Tara Juice World,4.1,"Beverages, Juices, Shake"
Hameedi Confectioner,4.5,"Mithai, Desserts"
New Balaji Santosh Family Dhaba,3.9,"Fast Food, Chinese, North Indian"
50 Fruits,4.2,"Beverages, Street Food, Sandwich, Salad, Shake, Juices"
Aarth - Authentic Claypot Biryanis,3.9,"Biryani, Hyderabadi, Kebab"
Chotu's - The Food People,4.1,"North Indian, Chinese"
LunchBox - Meals and Thalis,4,"North Indian, Healthy Food"
Splurge - Thickshakes And Milkshakes,3.5,"Shake, Beverages"
Burger It Up,4.2,"Burger, Fast Food, Beverages, Shake"
Seasons Xprs,4.2,"Lebanese, Arabian, Rolls, Fast Food, Pizza"
The Hole in The Wall Cafe,4.1,"Cafe, American, Italian, Beverages, Fast Food, Shake, Burger, Waffle"
The Waffle Co,4.1,"Waffle, Pancake, Beverages, Shake"
Royal Tiffin Centre,4,"South Indian, Street Food, Beverages"
Paradise Fast Food & Juice,3.7,"North Indian, South Indian, Chinese, Kebab, Sichuan"
New Babar Bakery,4,"Fast Food, Bakery, Desserts"
Sivaramareddy Ghee Sweets & Chat,4.3,"Mithai, Street Food, Fast Food"
M S Tiffin & Chat,4.1,"South Indian, Biryani"
New Satyanarayan Mithai Bhandar,4.1,"Mithai, Desserts"
The Funnel Hill Creamery,4.1,"Cafe, Fast Food, Waffle, Pancake, Coffee, Beverages"
Mom Special,4.2,"North Indian, South Indian"
The Burrito Bowl,4,Healthy Food
Continue Night Way,3.6,North Indian
Superly - The Cosmo Cafe,3.4,"Fast Food, Pizza, Momos"
Shero Home Food - Chettinad,4,South Indian
Prathi Roju Inti Meals Curries,3.3,South Indian
Agra Sweets,4.2,"Mithai, Street Food"
Meals101,3.5,"Asian, North Indian, Chinese, Mexican, Italian, Desserts, Beverages, Sichuan"
Sri Vaibhav Tiffins,4.2,South Indian
Qaffeine By Ohri's,4.4,"Cafe, Fast Food, Wraps, Pizza, Beverages, Shake, Desserts"
Balaji Hukmichand Mithai Bhandar,4.3,"Mithai, Street Food"
Lingaiah Tiffin Center,4.4,South Indian
Balaji Mithai Bhandar,4.3,"Mithai, Desserts"
Italian Hub,3.9,"Pizza, Fast Food"
Pallavi Tiffin Centre,4.2,South Indian
Swathi Mess & Dhaba,4.1,"North Indian, Chinese, Sichuan"
Sanjos Donuts,4,"Fast Food, Beverages, Desserts"
Juice Splash,4.1,"Beverages, Juices, Shake"
15 Andra Pappu Currys & Meals,3.5,"South Indian, North Indian, Andhra"
Ramadevi Curry Point & Mess,3.5,"South Indian, Biryani, North Indian"
Vasudo Dhaba Inn,4.1,"North Indian, Chinese"
Sahadeva Reddy's Chinese Kitchen,3.7,"Chinese, Sichuan"
Slurpy Shakes,4,"Beverages, Desserts, Bakery, Shake"
Low Budget Curry Point,4,North Indian
Singh's Pure Veg Restaurant,3.9,"North Indian, Chinese"
Balaji Mahesh Mithai Bhandar,4.3,"Mithai, Street Food"
The Brooklyn Creamery - Healthy Ice Cream,4,"Ice Cream, Desserts"
RHM Bakers,3.2,"Bakery, Fast Food, Shake, Beverages"
Apple Cut Fast Food & Juice Center,4.1,Juices
10 Rupee Meals,3.4,"South Indian, North Indian, Beverages"
Fat Tiger,3.5,"Fast Food, Beverages, Coffee, Pizza, Burger, Momos, Tea"
Masala Medley,4,"North Indian, Chinese, Sichuan"
A1 Fast Food And Nahari Centre,3.5,"Chinese, Mughlai"
UR Life Cafe,4,"Cafe, Continental, Healthy Food, Italian, Pizza, Tea"
Rahul Tiffin & Fast Food Centre,3.5,South Indian
Summer Land,4.3,"Salad, Desserts, Beverages, Shake"
Wholesale Bakery,3.9,"Bakery, Desserts, Fast Food, Burger, Shawarma"
Té - A Tea Tradition,4.2,"Tea, Beverages, Fast Food, Shake, Coffee"
Swastik Udupi Veg,3.6,"North Indian, South Indian, Chinese"
Jamie's Pizzeria By Jamie Oliver,3.9,"Pizza, Italian"
Dostea,4.2,"Beverages, Street Food, Shake, Sandwich, Tea"
Feel In Saudia Shawarma,4.3,Shawarma
Bikaner Mithaiwala,3.7,"Mithai, Street Food"
FresHygiene@365,3.9,North Indian
Moghal's Tiffin Centre,4,South Indian
Hotel Miskeen,4.1,"Mughlai, Hyderabadi"
Roti Express,-,North Indian
Cakes & Pastries,4,"Bakery, Desserts"
Vinayak Tiffins,4.1,South Indian
Naseeb Hotel,3.8,Hyderabadi
Anupama Hotel Veg & Non Veg,3.7,"Hyderabadi, Biryani"
Delhiwala Sweets & Chat,4.1,"Mithai, Street Food"
Kouzina Kafe - The Food Court,3.8,"Fast Food, Bakery, Desserts, Shake"
Gourmet Ice Cream Cakes By Baskin Robbins,4.2,"Bakery, Desserts, Ice Cream"
New Delhi Mithaiwala,4.1,"Mithai, Street Food"
PVR Café,3.5,"Fast Food, Momos, Beverages"
Ritz Food World,4,"Fast Food, Desserts, Beverages"
Juice Box,3.9,"Beverages, Sandwich, Desserts, Shake, Healthy Food"
Van Lavino,4.2,"Cafe, Desserts, Pizza, Burger, Waffle, Tea"
"Sri Siddhi Vinayaka Tiffins, Meals & Sweets",4.2,South Indian
Dosa King - The Taste Of South,3.9,South Indian
Paris Waffle Co.,3,"Waffle, Desserts"
New Al Madina Hotel,-,"Mughlai, Chinese"
Swathi Tiffiens Somajiguda,3.7,"Chinese, Beverages, Shake"
Dosa House Restaurant,4.3,South Indian
Bagara Rice And Curries Center,3.5,Andhra
Dude Restaurant,3.5,"Chinese, Lebanese, Biryani"
Sanwariya Mithai Wala,4.3,"Mithai, Street Food"
Mamatha Darshini,4,South Indian
Wok On! By Phulkaas,4.1,"Chinese, Sichuan, Momos"
Cakes King,3.6,"Bakery, Ice Cream, Desserts"
Shyam Singh Chat Bhandar,3.7,"Street Food, Fast Food"
Meethe Miya,4.2,Mithai
Burger Eats,3.9,"Fast Food, Beverages, Biryani, Desserts, Burger"
Sri Ruchulu,3.7,South Indian
Curry Pot,4,"North Indian, Chinese, South Indian, Continental, Sandwich, Beverages, Juices, Ice Cream"
Shree Balaji Suraj Mithai Bhandar,4.1,"Mithai, Street Food"
Waffle House,3.7,Cafe
Mayodia Cakes N Bakes,4.3,"Bakery, Desserts, Fast Food"
Fruitfull,3.9,Healthy Food
Iceberg Organic Icecreams,3.8,"Desserts, Ice Cream"
Birthday Cakes,4,Bakery
The Joint,3.4,"Fast Food, Lebanese"
Rida's Biryani House (Home Made Food),-,"Hyderabadi, North Indian"
Currypoint Foods Of Shathamana Bavathi,-,South Indian
LunchBox - Meals and Thalis,3.5,"Asian, Biryani, North Indian"
Gupta Tiffins & Fast Food,4.1,"South Indian, Chinese, Sichuan"
Tasty Bite,-,"Burger, Chinese, Fast Food, Beverages"
Cakes Online,3.8,"Bakery, Desserts"
Laddu ji,3.8,"Mithai, Desserts"
Mahboob Bakers,3.8,"Bakery, Desserts, Fast Food"
House Of Candy,4,Desserts
Kiran Ki Rasoi,4.1,"North Indian, Chinese, Biryani, Desserts"
TTT Juice Center,4.2,"Juices, Beverages, Shake"
Sri Rami Reddy Pure Ghee Sweets,4.3,"Mithai, Street Food"
